# Supplemental data for: Revisiting population size vs. phoneme inventory size.
# Moran, Steven, Daniel McCloy and Richard Wright. 2012. Revisiting population size vs. phoneme inventory size. Language, 88(4), 877-893.
# http://phoible.org
# This dataset is non-commercial, research only, do not distribute, and cite us if appropriate.
ReportDate	Source	inventory_id	language_code_id	alternative_language_names	root	wals_genus	area	glyph
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	ã
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	ĩ
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	ɲ
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	ʊ̃
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	ɪ̃
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	õ
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	cç
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	ɟʝ
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	˨
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	˦
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	ɔ̃
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	ɡb
"2012-09-20 03:33:25"	PHOIBLE	1525	abi	Abidji	ncon	Kwa	Africa	kp
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	o
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	aː
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	u
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	a
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	ŋ
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	e
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	i
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	k
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	j
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	m
