# Supplemental data for: Revisiting population size vs. phoneme inventory size.
# Moran, Steven, Daniel McCloy and Richard Wright. 2012. Revisiting population size vs. phoneme inventory size. Language, 88(4), 877-893.
# http://phoible.org
# This dataset is non-commercial, research only, do not distribute, and cite us if appropriate.
lang	pho	con	son	obs	vow	mon	qua	ton	fam	genus	geoLat	geoLong	pop	logPop
lzz	lzz	32	27	4	23	5	5	5	0	kart	Kartvelian	41:30	41:30	30000	4.47712125471966
mam	mam	43	33	7	26	10	10	5	0	maya		15:25	-91:50	2e+05	5.30102999566398
maq	maq	38	26	12	14	8	8	4	4	otma	Popolocan	17:45	-96:55	2500	3.39794000867204
mas	mas	43	21	11	10	18	18	9	4	nsah	Nilotic	00:30	37:0	590000	5.77085201164214
maw	maw	32	22	8	14	10	10	5	0	ncon	Gur	10:20	00:55	220000	5.34242268082221
maz	maz	63	45	15	30	15	15	9	3	otma	Otomian	19:30	-100:0	350000	5.54406804435028
mbl	mbl	20	10	4	6	10	10	5	0	macg	Maxakalí	-16:55	-40:50	800	2.90308998699194
mbo	mbo	31	20	7	13	7	7	7	4	ncon		05:00	09:55	45000	4.65321251377534
mcf	mcf	21	15	4	11	6	6	6	0	pano	Panoan	-05:30	-73:10	1400	3.14612803567824
mcp	mcp	55	30	15	15	21	21	9	4	ncon	Bantoid	03:20	12:10	80000	4.90308998699194
mcs	mcs	54	26	10	16	24	24	10	4	ncon	Adamawa	09:30	13:55	8000	3.90308998699194
mcu	mcu	25	19	7	12	6	6	6	0	ncon	Bantoid	06:30	11:30	30000	4.47712125471966
mdd	mdd	38	30	14	16	8	8	5	0	ncon	Adamawa	07:45	13:10	38600	4.58658730467176
mde	mde	29	22	10	12	7	7	7	0	nsah	Maban	13:45	21:00	296000	5.47129171105894
mdj	mdj	47	36	16	20	9	9	9	2	nsah	Mangbetu	02:35	27:0	620000	5.79239168949825
mdx	mdx	30	24	12	12	6	6	6	0	afas	North Omotic	06:10	35:30	21100	4.32428245529769
mec	mec	24	19	13	6	5	5	5	0	aust	Maran	-14:50	135:0	15	1.17609125905568
men	men	34	23	10	13	7	7	7	4	ncon	Western Mande	08:00	-11:30	1480000	6.17026171539496
mfc	mfc	31	24	13	11	7	7	7	0	ncon	Ubangi	01:15	25:10	36100	4.55750720190566
mff	mff	44	36	10	26	8	8	8	0	ncon		06:45	10:15	3000	3.47712125471966
mfn	mfn	37	28	8	20	7	7	7	2	ncon		05:50	08:25	1e+05	5
mgg	mgg	38	29	11	18	7	7	7	2	ncon		02:00	15:30	45000	4.65321251377534
mgi	mgi	48	29	9	20	16	16	9	3	ncon		08:30	08:20	50000	4.69897000433602
mgo	mgo	33	20	6	14	8	8	8	5	ncon		05:55	09:55	87000	4.93951925261862
mhi	mhi	38	24	8	16	10	10	10	4	nsah	Moru-Madi	03:20	31:40	296000	5.47129171105894
mhj	mhj	29	24	11	13	5	5	5	0	altc	Mongolic	35:0	62:0	200	2.30102999566398
mhk	mhk	33	21	7	14	9	9	9	3	ncon	Bantoid	05:35	10:20	50100	4.69983772586725
mhr	mhr	27	19	8	11	8	8	8	0	urlc	Mari	55:30	55:40	451000	5.65417654187796
mhz	mhz	19	14	10	4	5	5	5	0	anes	South Halmahera - West New Guinea	-3:0	135:40	700	2.84509804001426
mif	mif	44	35	13	22	7	7	5	2	afas	Biu-Mandara	10:30	14:00	60000	4.77815125038364
mig	mig	32	19	6	13	10	10	5	3	otma	Mixtecan	17:03	-97:34	14500	4.16136800223498
mjg	mjg	28	23	10	13	5	5	5	0	altc	Mongolic	36:0	102:0	152000	5.18184358794477
mkd	mkd	32	26	7	19	6	6	6	0	ieur	Slavic	41:05	22:35	1390000	6.14301480025409
mky	mky	37	32	12	20	5	5	5	0	anes	South Halmahera - West New Guinea	00:15	127:20	20000	4.30102999566398
mla	mla	21	16	10	6	5	5	5	0	anes	Oceanic	-15:40	167:10	4000	3.60205999132796
mlf	mlf	41	17	8	9	22	18	9	2	ausa		19:20	101:15	23200	4.3654879848909
mlq	mlq	27	20	8	12	7	7	7	0	ncon	Western Mande	13:00	-11:0	422000	5.62531245096167
mlt	mlt	55	45	12	33	10	10	5	0	afas	Semitic	35:55	14:25	3e+05	5.47712125471966
mlv	mlv	22	15	7	8	7	7	7	0	anes	Oceanic	-13:35	167:35	2200	3.34242268082221
mnb	mnb	33	28	14	14	5	5	5	0	anes	Sulawesi	-5:0	122:25	3e+05	5.47712125471966
mnc	mnc	25	18	6	12	7	7	7	0	altc	Tungusic	49:30	127:30	60	1.77815125038364
mnf	mnf	41	23	8	15	14	14	8	4	ncon	Bantoid	05:40	09:55	34000	4.53147891704226
mnh	mnh	44	33	13	20	8	8	8	3	ncon		04:00	19:00	65000	4.81291335664286
mni	mni	33	25	8	17	6	6	6	2	sitb	Kuki-Chin	24:45	94:0	1370000	6.13672056715641
mnk	mnk	34	19	8	11	10	10	5	5	ncon	Western Mande	12:45	-14:0	669000	5.82542611776782
moa	moa	39	21	4	17	12	12	7	6	ncon		07:50	-06:05	17000	4.23044892137827
moc	moc	31	23	8	15	8	8	4	0	mgua	Guaicuruan	-28:0	-61:0	4530	3.65609820201283
mor	mor	29	22	9	13	7	7	7	0	ncon	Heiban	10:55	30:10	30000	4.47712125471966
mos	mos	43	17	6	11	24	24	8	2	ncon	Gur	12:30	-01:30	5e+06	6.69897000433602
mpb	mpb	19	14	10	4	5	5	5	0	aust	Northern Daly	-13:20	130:45	9	0.954242509439325
mph	mph	24	19	12	7	5	5	5	0	aust	Iwaidjan	-11:50	133:15	240	2.38021124171161
mps	mps	23	13	5	8	10	10	5	0	trng	Teberan	-06:30	144:35	10000	4
mpt	mpt	25	13	5	8	8	4	4	4	trng	Ok	-04:40	141:30	1400	3.14612803567824
mqs	mqs	23	17	7	10	6	6	6	0	wpap	North Halmaheran	00:30	127:35	12000	4.07918124604763
mri	mri	20	10	5	5	10	10	5	0	anes	Oceanic	-38:0	176:30	60000	4.77815125038364
mrq	mrq	22	12	3	9	10	10	5	0	anes	Oceanic	-08:40	-140:30	3400	3.53147891704225
mrt	mrt	44	36	9	27	6	6	6	2	afas	Biu-Mandara	11:00	13:00	158000	5.19865708695442
mrw	mrw	17	13	5	8	4	4	4	0	anes	Southern Philippines	07:50	124:0	776000	5.88986172125819
mtb	mtb	37	21	7	14	16	16	10	0	ncon		06:10	-04:40	3e+05	5.47712125471966
mto	mto	23	14	3	11	9	9	9	0	mizo	Mixe-Zoque	17:15	-96:0	5200	3.7160033436348
muh	muh	41	29	12	17	9	9	9	3	ncon	Ubangi	04:45	29:40	23000	4.36172783601759
muo	muo	42	23	10	13	14	14	8	5	ncon		05:55	10:25	30000	4.47712125471966
mur	mur	26	21	11	10	5	5	5	0	nsah	Surmic	06:30	34:0	60000	4.77815125038364
mva	mva	18	13	5	8	5	5	5	0	anes	Oceanic	-04:05	145:05	7950	3.90036712865647
mwf	mwf	25	21	11	10	4	4	4	0	aust	Murrinh-Patha	-14:25	129:40	1430	3.15533603746506
mwk	mwk	33	19	7	12	14	14	7	0	ncon		13:00	-09:30	6e+05	5.77815125038364
mwp	mwp	24	18	8	10	6	6	6	0	aust	Pama-Nyungan	-10:0	143:0	930	2.96848294855394
mwt	mwt	32	22	7	15	10	10	6	0	anes		09:05	97:50	7000	3.84509804001426
mxu	mxu	40	22	7	15	13	13	8	5	afas	Biu-Mandara	10:50	14:05	17000	4.23044892137827
mya	mya	50	34	13	21	13	11	8	3	sitb	Burmese-Lolo	21:00	96:0	3.2e+07	7.50514997831991
myk	myk	50	29	11	18	19	19	7	2	ncon		12:30	-05:30	738000	5.86805636182304
myp	myp	11	8	2	6	3	3	3	0	mura	Mura	-7:0	-62:0	360	2.55630250076729
myu	myu	39	17	6	11	20	20	10	2	tupi	Munduruku	-07:25	-57:40	10100	4.00432137378264
mzk	mzk	43	25	13	12	16	16	8	2	ncon	Bantoid	06:45	11:25	99000	4.99563519459755
mzm	mzm	34	23	7	16	11	11	6	0	ncon	Adamawa	09:00	11:40	4e+05	5.60205999132796
mzn	mzn	29	22	5	17	7	7	7	0	ieur	Iranian	36:30	52:0	3270000	6.51454775266029
mzp	mzp	23	18	6	12	5	5	5	0	_mzp	Movima	-13:55	-65:35	1450	3.16136800223497
mzw	mzw	52	22	8	14	30	30	10	0	ncon		07:20	00:00	26400	4.42160392686983
nab	nab	43	25	10	15	18	18	10	0	namb	Nambikuaran	-14:45	-59:15	1150	3.06069784035361
nam	nam	28	20	10	10	8	8	4	0	aust	Southern Daly	-14:15	131:30	220	2.34242268082221
nan	nan	25	19	10	9	6	6	6	0	sitb	Chinese	24:30	118:10	25700000	7.40993312333129
naq	naq	33	19	4	15	8	8	5	6	khoi	Central Khoisan	-21:0	16:00	2e+05	5.30102999566398
nas	nas	18	8	3	5	10	10	5	0	epap	East Bougainville	-06:30	155:40	20000	4.30102999566398
nav	nav	54	36	8	28	16	16	4	2	nadn	Athapaskan	36:30	-110:0	149000	5.17318626841227
nbf	nbf	49	38	10	28	11	11	11	0	sitb	Naxi	27:30	100:0	309000	5.48995847942483
nbj	nbj	23	17	12	5	6	6	3	0	aust	Pama-Nyungan	-15:45	130:45	170	2.23044892137827
ncg	ncg	42	32	16	16	10	10	5	0	penu	Tsimshianic	55:05	-129:45	920	2.96378782734556
ncj	ncj	20	16	4	12	4	4	4	0	utaz	Aztecan	20:00	-98:15	60000	4.77815125038364
ncl	ncl	25	20	7	13	5	5	5	0	utaz	Aztecan	18:20	-103:20	3000	3.47712125471966
ncu	ncu	30	21	8	13	9	9	9	0	ncon	Kwa	08:15	00:15	69000	4.83884909073726
ndb	ndb	65	55	25	30	10	10	10	0	ncon		06:00	10:25	25000	4.39794000867204
ndi	ndi	34	22	7	15	9	9	9	3	ncon	Adamawa	08:30	12:30	62000	4.79239168949825
nds	nds	37	23	6	17	14	10	6	0	ieur	Germanic	53:0	10:00	1000	3
ndv	ndv	34	27	16	11	7	7	7	0	ncon	Northern Atlantic	14:55	-17:0	38600	4.58658730467176
neb	neb	50	19	4	15	27	27	9	4	ncon		07:40	-07:38	38500	4.5854607295085
nep	nep	39	27	5	22	12	12	6	0	ieur	Indic	28:0	85:0	11100000	7.04532297878666
new	new	32	24	15	9	8	8	4	0	sitb	Bodic	27:40	85:30	825000	5.91645394854993
nez	nez	36	26	10	16	10	10	5	0	penu	Sahaptian	46:15	-117:0	200	2.30102999566398
nfr	nfr	44	25	9	16	19	19	7	0	ncon	Gur	08:00	-02:30	61000	4.78532983501077
nga	nga	34	22	7	15	12	12	7	0	ncon	Ubangi	03:40	20:00	1010000	6.00432137378264
ngb	ngb	31	19	6	13	12	12	7	0	ncon	Ubangi	03:50	22:20	250000	5.39794000867204
nge	nge	40	29	10	19	9	9	9	2	ncon	Bantoid	06:10	10:00	18800	4.27415784926368
ngi	ngi	40	34	12	22	6	6	3	0	afas	West Chadic	12:00	11:00	80000	4.90308998699194
nhb	nhb	49	24	9	15	19	19	7	6	ncon	Eastern Mande	07:45	-04:15	17000	4.23044892137827
nhu	nhu	33	19	11	8	14	14	7	0	ncon	Bantoid	06:25	10:35	25000	4.39794000867204
nie	nie	36	23	10	13	13	13	7	0	ncon	Adamawa	09:45	17:40	5160	3.71264970162721
nio	nio	29	20	11	9	9	9	9	0	urlc	Samoyedic	73:30	85:30	500	2.69897000433602
nir	nir	18	12	4	8	6	6	6	0	trng	Nimboran	-02:05	140:10	2000	3.30102999566398
niv	niv	44	35	11	24	9	9	5	0	_niv	Nivkh	53:0	141:0	690	2.83884909073726
niz	niz	21	14	7	7	7	7	7	0	torr	Wapei-Palei	-03:30	142:15	950	2.97772360528885
njo	njo	20	14	6	8	6	6	6	0	sitb	Kuki-Chin	26:35	94:40	232000	5.3654879848909
nla	nla	59	37	9	28	19	19	9	3	ncon		05:45	10:10	45000	4.65321251377534
nld	nld	39	24	9	15	15	12	7	0	ieur	Germanic	52:0	05:00	16400000	7.2148438480477
nmg	nmg	54	46	10	36	8	8	8	0	ncon	Bantoid	03:05	10:15	9000	3.95424250943932
nml	nml	53	30	14	16	18	18	9	5	ncon		04:40	10:10	5950	3.77451696572855
nmm	nmm	45	30	9	21	10	10	6	5	sitb	Bodic	28:33	84:12	3740	3.57287160220048
nmu	nmu	24	18	5	13	6	6	6	0	penu	Maiduan	40:20	-120:45	2	0.301029995663981
nmz	nmz	35	21	8	13	14	14	7	0	ncon		08:40	01:00	146000	5.16435285578444
nna	nna	27	20	13	7	7	7	3	0	aust	Pama-Nyungan	-20:30	122:10	260	2.41497334797082
nnh	nnh	28	17	6	11	7	7	7	4	ncon		05:25	10:05	250000	5.39794000867204
nnk	nnk	20	14	5	9	6	6	6	0	trng	Finisterre-Huon	-05:55	146:30	2500	3.39794000867204
nnm	nnm	15	9	6	3	6	6	6	0	sepr	Yellow River	-03:50	141:45	6000	3.77815125038364
nob	nob	48	27	13	14	19	19	10	2	ieur	Germanic			4640000	6.66651798055488
noo	noo	47	37	8	29	10	10	5	0	waka	Southern Wakashan	49:25	-126:0	200	2.30102999566398
nrb	nrb	22	17	10	7	5	5	5	0	nsah	Nara	15:20	37:30	81400	4.9106244048892
nsh	nsh	34	26	8	18	6	6	6	2	ncon		06:05	09:50	9200	3.96378782734556
nup	nup	38	25	6	19	8	8	5	5	ncon	Nupoid	09:00	05:30	8e+05	5.90308998699194
nus	nus	48	20	9	11	28	28	14	0	nsah	Nilotic	08:40	32:0	740000	5.86923171973098
nut	nut	32	21	10	11	11	10	6	0	taik	Kam-Tai	21:55	106:30	856000	5.93247376467715
nuv	nuv	54	21	8	13	30	30	10	3	ncon	Gur	12:10	-3:0	50000	4.69897000433602
nuy	nuy	24	19	13	6	5	5	4	0	aust	Nunggubuyu	-13:45	135:40	360	2.55630250076729
nwb	nwb	44	24	7	17	16	16	9	4	ncon		06:48	-06:45	42700	4.63042787502502
nxg	nxg	27	21	5	16	6	6	6	0	anes	Central Malayo-Polynesian	-08:45	120:55	60000	4.77815125038364
nxl	nxl	17	12	6	6	5	5	5	0	anes	Central Malayo-Polynesian	-03:15	129:05	1500	3.17609125905568
nyi	nyi	25	18	9	9	7	7	7	0	nsah	Nyimang	12:07	29:27	70000	4.84509804001426
nyl	nyl	40	20	7	13	20	20	10	0	ausa		15:00	104:15	200	2.30102999566398
nym	nym	53	36	21	15	14	14	7	3	ncon	Bantoid	-5:0	33:0	980000	5.9912260756925
nyn	nyn	28	20	5	15	8	5	5	0	ncon	Bantoid	00:30	30:30	2330000	6.36735592102602
oca	oca	38	27	8	19	9	9	5	2	wita	Huitoto	-02:50	-71:40	54	1.73239375982297
ogb	ogb	34	24	13	11	10	10	10	0	ncon	Cross River	04:40	06:20	2e+05	5.30102999566398
ojg	ojg	27	16	3	13	11	11	3	0	algi	Algonquian	45:0	-79:0	25900	4.41329976408125
okr	okr	36	24	8	16	10	10	10	2	ncon		04:35	07:00	248000	5.39445168082622
oku	oku	29	18	6	12	7	7	7	4	ncon	Bantoid	06:15	10:30	40000	4.60205999132796
okv	okv	17	12	3	9	5	5	5	0	trng	Binanderean			35000	4.54406804435028
one	one	22	10	4	6	12	12	4	0	iroq	Northern Iroquoian	43:15	-79:55	200	2.30102999566398
ood	ood	29	19	6	13	10	10	5	0	utaz	Tepiman	33:20	-112:30	9600	3.98227123303957
oon	oon	24	16	8	8	8	8	8	0	anda	South Andamanese	10:45	92:25	94	1.9731278535997
oru	oru	31	25	11	14	6	6	6	0	ieur	Iranian	32:30	69:45	1000	3
oss	oss	39	30	6	24	9	9	9	0	ieur	Iranian	43:0	44:10	1e+05	5
ote	ote	58	42	13	29	13	13	9	3	otma	Otomian	20:10	-99:20	1e+05	5
ozm	ozm	52	22	7	15	24	24	12	6	ncon				30000	4.47712125471966
pac	pac	33	18	7	11	15	12	12	0	ausa	Katuic	16:25	107:10	16000	4.20411998265593
pae	pae	51	42	22	20	7	7	7	2	ncon		03:05	22:00	28000	4.44715803134222
pan	pan	73	50	14	36	20	20	10	3	ieur	Indic	31:0	74:0	27100000	7.43296929087441
pao	pao	24	14	5	9	10	10	5	0	utaz	Numic	41:0	-118:0	1630	3.21218760440396
par	par	36	23	10	13	13	12	6	0	utaz	Numic	36:40	-117:0	20	1.30102999566398
pau	pau	22	10	4	6	12	12	6	0	anes	Palauan	07:10	134:30	14800	4.17026171539496
pav	pav	20	14	6	8	6	6	6	0	chaw	Chapacura-Wanham	-11:15	-65:20	1930	3.28555730900777
pay	pay	28	18	11	7	10	10	5	0	chib	Paya	15:00	-85:30	990	2.99563519459755
pbb	pbb	39	29	14	15	10	10	4	0	_pbb	Páezan	02:40	-76:0	77400	4.88874096068289
pbh	pbh	25	12	7	5	13	13	7	0	cari	Cariban	07:00	-65:45	3540	3.54900326202579
pbi	pbi	35	31	12	19	4	4	4	0	afas	Biu-Mandara	11:00	14:06	30000	4.47712125471966
pcc	pcc	38	24	7	17	8	8	7	6	taik	Kam-Tai	26:03	105:45	2600000	6.41497334797082
pes	pes	30	24	6	18	6	6	6	0	ieur	Iranian	32:0	54:0	2.2e+07	7.34242268082221
pex	pex	30	15	7	8	15	11	8	0	anes		-05:10	154:30	2000	3.30102999566398
phl	phl	40	30	8	22	10	10	5	0	ieur		35:50	71:45	10000	4
pib	pib	26	16	6	10	10	10	5	0	arwk	Arawakan	-11:08	-73:20	4000	3.60205999132796
pil	pil	38	25	9	16	9	9	9	4	ncon		09:50	01:50	74000	4.86923171973098
plg	plg	22	18	7	11	4	4	4	0	mgua	Guaicuruan	-25:0	-60:0	4000	3.60205999132796
plo	plo	32	20	7	13	12	12	6	0	mizo	Mixe-Zoque	17:58	-94:55	100	2
plt	plt	36	31	18	13	5	5	5	0	anes	Barito			7520000	6.87621784059164
pmq	pmq	54	40	19	21	12	12	6	2	otma		22:00	-99:40	5620	3.74973631556906
pol	pol	37	31	8	23	6	6	6	0	ieur	Slavic	52:0	20:00	36600000	7.56348108539441
pom	pom	38	27	6	21	11	11	6	0	hoka	Pomoan	39:0	-122:30	5	0.698970004336019
pon	pon	20	14	8	6	6	6	6	0	anes	Oceanic	07:00	158:0	29000	4.46239799789896
poq	poq	29	19	7	12	10	10	5	0	mizo		17:53	-94:48	430	2.63346845557959
por	por	38	23	10	13	15	15	7	0	ieur	Romance	40:0	-8:0	1e+07	7
pos	pos	25	19	6	13	6	6	6	0	mizo	Mixe-Zoque	17:50	95:0	4000	3.60205999132796
prk	prk	77	34	17	17	43	18	18	0	ausa	Palaung-Khmuic	23:15	99:30	922000	5.96473092105363
prt	prt	35	17	8	9	18	18	9	0	ausa		19:15	101:10	20000	4.30102999566398
pst	pst	38	31	8	23	7	7	4	0	ieur	Iranian	33:0	67:0	7920000	6.89872518158949
ptp	ptp	44	30	18	12	14	14	7	0	anes	Oceanic	-7:0	146:40	1700	3.23044892137827
pwn	pwn	26	22	11	11	4	4	4	0	anes	Paiwanic	22:20	120:50	66100	4.82020145948564
pww	pww	52	23	8	15	24	17	15	5	sitb	Karen	15:10	99:0	60000	4.77815125038364
quc	quc	32	22	6	16	10	10	5	0	maya	Mayan	15:00	-91:18	1900000	6.27875360095283
qug	qug	36	31	7	24	5	5	5	0	quch	Quechuan	-01:20	-79:0	1e+06	6
quh	quh	37	32	9	23	5	5	5	0	quch	Quechuan	-20:0	-66:0	2780000	6.44404479591808
qui	qui	37	33	3	30	4	4	4	0	chmn	Chimakuan	47:50	-124:20	10	1
qum	qum	32	22	7	15	10	10	5	0	maya	Mayan	15:13	-91:40	8000	3.90308998699194
qvh	qvh	31	21	8	13	10	10	5	0	quch	Quechuan	-9:0	-76:20	72400	4.85973856619715
qwh	qwh	30	20	7	13	10	10	5	0	quch		-9:0	-78:0	336000	5.52633927738984
qxl	qxl	29	24	7	17	5	5	5	0	quch		-01:20	-78:20	14300	4.15533603746506
qxw	qxw	27	22	9	13	5	5	5	0	quch		-11:40	-75:20	23000	4.36172783601759
rel	rel	33	21	8	13	10	10	5	2	afas	Eastern Cushitic	02:00	37:30	34700	4.54032947479087
rgr	rgr	35	30	8	22	5	5	5	0	arwk	Arawakan	-02:32	-71:20	14	1.14612803567824
rif	rif	49	45	12	33	4	4	4	0	afas	Berber	34:30	-02:30	1500000	6.17609125905568
rma	rma	28	19	8	11	9	9	5	0	chib	Rama	11:42	-83:42	24	1.38021124171161
ron	ron	31	22	6	16	9	9	9	0	ieur	Romance	46:0	25:0	19700000	7.29446622616159
roo	roo	11	6	1	5	5	5	5	0	epap	West Bougainville	-6:0	155:05	4320	3.63548374681491
rro	rro	14	9	3	6	5	5	5	0	anes	Oceanic	-08:40	146:30	15000	4.17609125905568
ruk	ruk	57	30	13	17	24	16	8	3	ncon		09:50	08:35	1e+05	5
run	run	29	22	6	16	5	5	5	2	ncon	Bantoid	-03:20	30:0	4600000	6.66275783168157
rus	rus	38	33	9	24	5	5	5	0	ieur	Slavic	56:0	38:0	1.16e+08	8.06445798922692
rut	rut	64	59	17	42	5	5	5	0	ncau	Lezgic	41:40	47:15	29400	4.46834733041216
rwr	rwr	46	36	11	25	10	8	8	0	ieur				5600000	6.7481880270062
sad	sad	54	47	10	37	7	7	7	0	khoi	Sandawe	-05:20	35:25	40000	4.60205999132796
sae	sae	18	13	5	8	5	5	5	0	namb		-12:58	-60:20	1	0
sah	sah	49	33	13	20	16	16	8	0	altc	Turkic	73:0	115:0	363000	5.55990662503611
sas	sas	30	19	8	11	11	5	5	0	anes		-08:40	116:30	2100000	6.32221929473392
sba	sba	34	18	6	12	13	13	8	3	nsah	Bongo-Bagirmi	08:45	16:00	896000	5.95230800966212
sbd	sbd	26	18	6	12	8	8	8	0	ncon		13:00	-3:0	85000	4.92941892571429
sbf	sbf	43	28	8	20	13	13	8	2	nsah	Shabo	07:40	35:23	450	2.65321251377534
sbs	sbs	51	46	15	31	5	5	5	0	ncon	Bantoid	-17:45	25:50	26600	4.42488163663107
sed	sed	53	39	27	12	14	14	14	0	ausa	Bahnaric	14:50	108:0	101000	5.00432137378264
see	see	27	11	4	7	16	16	6	0	iroq	Northern Iroquoian	36:0	-94:25	150	2.17609125905568
sef	sef	36	24	15	9	12	12	7	0	ncon	Gur	09:30	-06:15	862000	5.93550726582471
sei	sei	25	17	4	13	8	8	4	0	hoka	Seri	29:0	-112:15	900	2.95424250943932
sel	sel	34	18	12	6	16	16	7	0	urlc	Samoyedic	60:0	82:30	1640	3.2148438480477
seq	seq	53	21	6	15	28	28	7	4	ncon		10:31	-05:19	50000	4.69897000433602
ser	ser	42	33	11	22	9	9	9	0	utaz	Takic	34:0	-116:40	1	0
ses	ses	48	33	13	20	15	15	6	0	nsah	Songhay	17:00	-1:0	1e+05	5
set	set	17	10	5	5	7	7	7	0	trng	Sentani	-02:35	140:30	30000	4.47712125471966
sey	sey	18	12	3	9	6	6	6	0	tucn	Tucanoan	00:15	-76:0	550	2.74036268949424
sgz	sgz	21	15	7	8	6	6	6	0	anes	Oceanic	-4:0	152:50	3000	3.47712125471966
shb	shb	25	13	8	5	12	12	6	0	yano	Yanomam	03:45	-62:30	470	2.67209785793572
shi	shi	31	28	16	12	3	3	3	0	afas	Berber	29:30	-8:0	3e+06	6.47712125471966
shn	shn	25	20	9	11	5	5	5	0	taik	Kam-Tai	19:15	98:0	3200000	6.50514997831991
shs	shs	44	37	21	16	7	7	7	0	sali	Interior Salish	51:20	121:0	500	2.69897000433602
sid	sid	35	25	7	18	10	10	5	0	afas	Eastern Cushitic	06:40	38:20	2900000	6.46239799789896
sin	sin	53	37	13	24	16	16	7	0	ieur	Indic	08:00	81:0	15500000	7.19033169817029
sja	sja	31	17	3	14	14	14	7	0	choc	Choco	02:50	-77:15	3500	3.54406804435028
sjr	sjr	22	15	7	8	7	7	7	0	anes	Oceanic	-04:50	152:55	2080	3.31806333496276
sjw	sjw	19	13	5	8	6	6	4	0	algi	Algonquian	34:50	-96:55	200	2.30102999566398
skd	skd	21	15	6	9	6	6	6	0	penu	Miwok	37:30	120:0	7	0.845098040014257
skf	skf	35	15	7	8	20	20	5	0	tupi	Tupari	-13:08	-62:03	23	1.36172783601759
skr	skr	83	48	15	33	35	18	9	0	ieur		29:40	70:35	13800000	7.13987908640124
skv	skv	23	13	6	7	7	7	7	3	skoo	Western Skou	-02:35	140:55	700	2.84509804001426
slc	slc	32	22	6	16	10	10	5	0	slvn	Sáliba	06:00	-70:0	1310	3.11727129565576
sld	sld	51	22	7	15	27	27	9	2	ncon		11:02	-02:30	13000	4.11394335230684
slu	slu	19	14	6	8	5	5	5	0	anes	Central Malayo-Polynesian	-08:15	130:55	8000	3.90308998699194
slv	slv	37	21	6	15	16	16	8	0	ieur	Slavic	46:0	15:00	1730000	6.2380461031288
sma	sma	45	39	22	17	6	6	6	0	urlc	Saami	63:40	15:20	300	2.47712125471966
smq	smq	18	12	4	8	6	6	6	0	trng	East Strickland	-06:05	142:10	900	2.95424250943932
sna	sna	42	37	8	29	5	5	5	0	ncon	Bantoid	-19:0	31:0	10700000	7.02938377768521
snd	snd	54	44	15	29	10	10	10	0	ieur	Indic	26:0	69:0	18500000	7.26717172840301
snk	snk	52	34	12	22	14	14	5	4	ncon	Western Mande	15:00	-9:0	7e+05	5.84509804001426
snn	snn	30	18	9	9	12	12	6	0	tucn	Tucanoan	00:25	-76:0	300	2.47712125471966
snv	snv	46	38	19	19	8	8	7	0	anes	Northwest Malayo-Polynesian	03:40	115:45	1110	3.04532297878666
som	som	52	30	9	21	20	20	10	2	afas	Eastern Cushitic	00:00	48:0	8340000	6.92116605063774
spa	spa	25	20	9	11	5	5	5	0	ieur	Romance	40:0	-4:0	28200000	7.45024910831936
spl	spl	21	15	10	5	6	6	6	0	trng	Finisterre-Huon	-06:05	147:15	7000	3.84509804001426
spo	spo	43	38	13	25	5	5	5	0	sali	Interior Salish	47:50	-138:0	50	1.69897000433602
spy	spy	31	13	8	5	18	18	10	0	nsah		01:00	34:45	279000	5.4456042032736
sqt	sqt	34	28	16	12	6	6	6	0	afas	Semitic	12:30	54:0	57000	4.75587485567249
squ	squ	37	30	5	25	7	7	4	0	sali	Central Salish	49:30	-123:10	15	1.17609125905568
srq	srq	28	18	7	11	10	10	5	0	tupi	Tupi-Guaraní	-15:35	64:0	400	2.60205999132796
srr	srr	43	33	13	20	10	10	5	0	ncon		16:30	-15:0	1130000	6.05307844348342
ssg	ssg	28	11	5	6	17	10	5	0	anes		-01:30	144:10	1000	3
sso	sso	46	37	8	29	9	9	9	0	anes		-3:0	142:05	300	2.47712125471966
stc	stc	47	30	21	9	17	16	9	0	epap	Oceanic	-11:0	166:0	4280	3.63144376901317
str	str	40	35	13	22	5	5	5	0	sali	Central Salish	48:27	-123:30	20	1.30102999566398
stw	stw	42	29	15	14	13	13	8	0	anes		07:15	147:0	460	2.66275783168157
sue	sue	18	13	9	4	5	5	5	0	trng	Binanderean	-07:45	147:30	3000	3.47712125471966
sun	sun	26	19	8	11	7	7	7	0	anes	Sundanese	-7:0	107:30	3.4e+07	7.53147891704226
suq	suq	31	22	8	14	7	7	7	2	nsah	Surmic	05:40	35:40	19600	4.29225607135648
sur	sur	37	25	8	17	12	12	6	0	afas	West Chadic	09:35	08:30	295000	5.46982201597816
sus	sus	35	21	9	12	14	14	7	0	ncon	Western Mande	10:00	-13:0	906000	5.95712819767681
svr	svr	30	19	8	11	11	11	11	0	drav		19:09	82:21	20200	4.30535136944662
svs	svs	22	17	10	7	5	5	5	0	epap	Savosavo	-09:10	159:50	2420	3.38381536598043
swe	swe	35	18	5	13	17	17	9	0	ieur	Germanic	60:0	15:00	7910000	6.89817648349768
swh	swh	36	31	10	21	5	5	5	0	ncon	Bantoid	-05:05	39:50	350000	5.54406804435028
swi	swi	54	47	25	22	7	7	7	0	taik	Kam-Tai	26:0	107:30	2e+05	5.30102999566398
