# Supplemental data for: Revisiting population size vs. phoneme inventory size.
# Moran, Steven, Daniel McCloy and Richard Wright. 2012. Revisiting population size vs. phoneme inventory size. Language, 88(4), 877-893.
# http://phoible.org
# This dataset is non-commercial, research only, do not distribute, and cite us if appropriate.
lang	pho	con	son	obs	vow	mon	qua	ton	fam	genus	geoLat	geoLong	pop	logPop
ben	ben	53	36	13	23	17	17	10	0	ieur	Indic	24:0	90:0	1.1e+08	8.04139268515823
beq	beq	41	19	6	13	20	20	5	2	ncon	Bantoid	-4:0	14:00	3200	3.50514997831991
bev	bev	37	24	9	15	13	13	13	0	ncon	Kru	06:50	-06:35	130000	5.11394335230684
bex	bex	49	31	15	16	18	18	9	0	nsah	Bongo-Bagirmi	06:00	30:0	1e+05	5
bfd	bfd	49	21	7	14	18	18	9	10	ncon	Bantoid	06:10	10:10	105000	5.02118929906994
bfl	bfl	45	32	14	18	8	8	8	5	ncon		08:00	22:00	35500	4.55022835305509
bfm	bfm	41	27	7	20	9	9	9	5	ncon		06:20	10:15	35000	4.54406804435028
bfw	bfw	27	21	9	12	6	6	6	0	ausa	Munda	18:00	82:0	9000	3.95424250943932
bgj	bgj	40	27	7	20	9	9	9	4	ncon		06:00	10:40	13500	4.13033376849501
bgo	bgo	25	17	8	9	8	8	8	0	ncon		09:55	-13:55	5000	3.69897000433602
bhg	bhg	35	11	4	7	24	10	5	0	trng	Binanderean	-08:10	147:55	7000	3.84509804001426
bhw	bhw	24	14	6	8	10	10	5	0	anes	South Halmahera - West New Guinea	-1:0	136:0	30000	4.47712125471966
bhy	bhy	28	19	6	13	7	7	7	2	ncon		00:15	28:30	15000	4.17609125905568
bib	bib	24	18	8	10	6	6	6	0	ncon	Eastern Mande	11:30	00:30	350000	5.54406804435028
bim	bim	44	22	9	13	18	18	6	4	ncon	Gur	10:30	00:00	120000	5.07918124604763
bin	bin	48	25	9	16	21	21	7	2	ncon	Edoid	06:20	06:00	1e+06	6
biw	biw	55	28	17	11	23	16	9	4	ncon		03:40	12:45	12000	4.07918124604763
bjr	bjr	16	11	5	6	5	5	3	0	trng	Eastern Highlands	-06:15	146:05	360	2.55630250076729
bjz	bjz	24	14	4	10	10	10	5	0	trng				2230	3.34830486304816
bkc	bkc	38	25	11	14	7	7	7	6	ncon	Ubangi	02:30	15:30	40000	4.60205999132796
bkh	bkh	33	26	13	13	7	7	7	0	ncon		03:30	10:00	50000	4.69897000433602
bkk	bkk	41	31	5	26	10	10	5	0	ieur	Indic	35:20	76:30	10000	4
bkm	bkm	75	59	30	29	9	9	9	7	ncon	Bantoid	06:15	10:20	233000	5.36735592102602
bkq	bkq	29	17	10	7	12	12	7	0	cari	Cariban	-14:15	-54:30	950	2.97772360528885
bkv	bkv	36	23	9	14	10	10	5	3	ncon		06:45	08:55	1e+05	5
bla	bla	25	13	5	8	12	12	7	0	algi	Algonquian	50:0	-113:30	4500	3.65321251377534
blb	blb	41	16	6	10	25	5	5	0	epap	Bilua	-07:45	156:40	8740	3.9415114326344
blc	blc	31	28	7	21	3	3	3	0	sali	Bella Coola	52:20	-126:45	20	1.30102999566398
blk	blk	34	20	7	13	11	9	9	3	sitb		12:05	98:56	560000	5.7481880270062
blr	blr	40	24	12	12	14	14	14	2	ausa		21:57	100:24	42000	4.6232492903979
bmo	bmo	57	34	16	18	18	18	10	5	ncon		05:50	10:30	29000	4.46239799789896
bmr	bmr	28	22	5	17	6	6	6	0	wita	Boran	00:50	-72:25	150	2.17609125905568
bnm	bnm	31	20	10	10	8	8	8	3	ncon		03:00	10:00	9000	3.95424250943932
bod	bod	38	24	8	16	8	8	8	6	sitb	Bodic	30:0	91:0	1070000	6.02938377768521
bol	bol	38	28	12	16	10	10	5	0	afas	West Chadic	11:30	11:00	1e+05	5
bom	bom	29	22	7	15	7	7	7	0	ncon	Platoid	09:45	08:50	3e+05	5.47712125471966
bor	bor	20	13	7	6	7	7	7	0	macg	Bororo	-16:45	-56:0	1020	3.00860017176192
bot	bot	29	18	6	12	11	11	6	0	nsah	Bongo-Bagirmi	07:15	28:0	10100	4.00432137378264
bqc	bqc	34	19	5	14	12	12	7	3	ncon	Eastern Mande	10:30	03:25	70000	4.84509804001426
bqx	bqx	56	28	6	22	27	27	9	1	ncon		10:50	05:45	15000	4.17609125905568
brb	brb	31	22	8	14	9	9	9	0	ausa	Bahnaric	14:35	106:35	12800	4.10720996964787
bre	bre	42	25	10	15	17	17	8	0	ieur	Celtic	48:0	-03:30	5e+05	5.69897000433602
brh	brh	33	24	6	18	9	9	4	0	drav	Northern Dravidian	28:30	67:0	2e+06	6.30102999566398
brv	brv	42	20	12	8	22	22	22	0	ausa	Katuic	15:35	105:30	20000	4.30102999566398
brx	brx	21	15	6	9	6	6	6	0	sitb	Bodo-Garo	26:50	92:0	1540000	6.18752072083646
bsk	bsk	53	38	7	31	12	12	5	3	_bsk	Burushaski	36:30	74:30	87000	4.93951925261862
bsp	bsp	26	18	7	11	8	8	8	0	ncon	Southern Atlantic	10:30	-14:30	4000	3.60205999132796
bsq	bsq	36	22	5	17	7	7	7	7	ncon		06:00	-09:30	403000	5.60530504614111
bss	bss	44	22	11	11	18	18	8	4	ncon		05:00	09:40	1e+05	5
btg	btg	51	23	7	16	26	26	13	2	ncon		06:00	-6:0	150000	5.17609125905568
btx	btx	21	16	7	9	5	5	5	0	anes	Sumatra	03:00	98:10	6e+05	5.77815125038364
bud	bud	30	21	9	12	6	6	4	3	ncon	Gur	10:05	00:30	1e+05	5
bul	bul	49	37	9	28	12	12	6	0	ieur	Slavic	42:30	25:0	7990000	6.90254677931399
bum	bum	36	24	12	12	7	7	7	5	ncon	Bantoid	02:55	10:55	858000	5.93348728784871
bvm	bvm	32	23	7	16	9	9	9	0	ncon		06:00	10:30	31000	4.49136169383427
bvr	bvr	21	16	11	5	5	5	5	0	aust	Burarran	-12:10	134:15	700	2.84509804001426
bwi	bwi	37	25	9	16	12	4	4	0	arwk	Arawakan	02:45	-67:0	5460	3.73719264270474
bwo	bwo	25	16	7	9	6	6	6	3	afas	North Omotic	10:40	35:15	19900	4.29885307640971
bwq	bwq	38	19	6	13	19	19	7	0	ncon	Western Mande	11:30	-04:20	312000	5.49415459401844
bwt	bwt	47	27	7	20	16	16	8	4	ncon		04:30	09:10	8400	3.92427928606188
bxk	bxk	30	20	12	8	10	10	5	0	ncon	Bantoid	00:40	34:30	565000	5.75204844781944
byv	byv	25	16	6	10	9	9	9	0	ncon		05:05	10:30	210000	5.32221929473392
byx	byx	22	14	9	5	8	5	5	0	epap	Baining	-04:20	151:45	6350	3.80277372529198
bza	bza	48	23	10	13	21	21	7	4	ncon	Western Mande	08:00	-10:10	1e+05	5
bzd	bzd	27	18	11	7	9	9	5	0	chib	Talamanca	09:20	-83:0	11000	4.04139268515823
bzf	bzf	25	17	9	8	8	8	8	0	sepr	Middle Sepik	-03:40	143:30	31300	4.49554433754645
bzx	bzx	34	20	8	12	14	14	7	0	ncon		13:55	-05:30	118000	5.07188200730613
cad	cad	23	20	11	9	3	3	3	0	cadd	Caddoan	34:25	-98:25	25	1.39794000867204
cag	cag	28	22	13	9	6	6	6	0	mgua	Matacoan	-23:25	-60:20	13700	4.13672056715641
cao	cao	21	17	5	12	4	4	4	0	pano	Panoan	-12:25	-65:45	550	2.74036268949424
caq	caq	25	16	9	7	9	9	9	0	ausa	Nicobarese	09:00	93:0	37000	4.56820172406699
car	car	28	16	6	10	12	12	6	0	cari	Cariban	08:30	64:0	4450	3.64836001098093
cas	cas	38	26	7	19	12	12	5	0	_cas	Mosetenan	-14:40	-68:0	5320	3.72591163229505
cat	cat	39	27	14	13	12	8	8	0	ieur	Romance	42:0	02:00	11200000	7.04921802267018
