inventory_id	bibtex_key	language_code_id	source	alternative_language_names
232	SaintPike1962	auc	UPSID	AUCA
233	Charachidze1981	ava	UPSID	AVAR
233	Zhirkov1936	ava	UPSID	AVAR
234	Hetzron1969	awn	UPSID	AWIYA
235	Najlis1966	axb	UPSID	ABIPON
236	HouseholderLofti1965	azj	UPSID	AZERBAIJANI
237	Poppe1964	bak	UPSID	BASHKIR
238	Bird_etal1977	bam	UPSID	BAMBARA
239	StolteStolte1971	bao	UPSID	BARASANO
240	Welmers1952	bba	UPSID	BARIBA
241	vanderTuuk1971	bbc	UPSID	BATAK
242	Desheriev1953	bbl	UPSID	BATS
243	leBrisProst1981	bbo	UPSID	BOBO-FING
243	Morse1976	bbo	UPSID	BOBO-FING
244	Dell1981	bca	UPSID	BAI
245	Metcalfe1971	bcj	UPSID	BARDI
246	Cook1969a	bcs	UPSID	KOHUMONO
247	Verheijen1986	bdl	UPSID	SAMA
248	Cunningham1969	bdy	UPSID	BANDJALANG
249	Hudson1974	bej	UPSID	BEJA
249	Hudson1976	bej	UPSID	BEJA
250	FergusonChowdhury1960	ben	UPSID	BENGALI
251	Jacquot1962	beq	UPSID	BEEMBE
251	Jacquot1981	beq	UPSID	BEEMBE
252	WerleGbalehi1976	bev	UPSID	BETE
253	Naden1973b	bib	UPSID	BISA
253	Naden1973	bib	UPSID	BISA
254	Wheatley1973	bkq	UPSID	BAKAIRI
254	Wheatley1969	bkq	UPSID	BAKAIRI
255	Nater1984	blc	UPSID	BELLA COOLA
255	Newman1947	blc	UPSID	BELLA COOLA
256	WaltonWalton1967	bmr	UPSID	MUINANE
257	Bouquiaux1970	bom	UPSID	BIROM
257	Wolff1959	bom	UPSID	BIROM
258	Crowell1979	bor	UPSID	BORORO
259	Keller1976	brb	UPSID	BRAO
260	Bothorel1982	bre	UPSID	BRETON
260	Ternes1970	bre	UPSID	BRETON
261	De-Armond1975	brh	UPSID	BRAHUI
261	Emeneau1937	brh	UPSID	BRAHUI
261	Emeneau1962	brh	UPSID	BRAHUI
262	Thongkum1979	brv	UPSID	BRUU
263	Bhat1968	brx	UPSID	BODO
264	Morgenstierne1945	bsk	UPSID	BURUSHASKI
265	Aronson1968	bul	UPSID	BULGARIAN
265	Bidwell1968	bul	UPSID	BULGARIAN
265	Klagstad1958	bul	UPSID	BULGARIAN
265	Scatton1984	bul	UPSID	BULGARIAN
266	GlasgowGlasgow1967	bvr	UPSID	BURARRA
267	ParkerParker1974	byx	UPSID	BAINING
268	Arroyo1972	bzd	UPSID	BRIBRI
269	Chafe1976	cad	UPSID	CADDO
270	Stell1972	cag	UPSID	ASHUSLAY
271	Das1977	caq	UPSID	NICOBARESE
272	Hoff1968	car	UPSID	CARIB
272	Peasgood1972	car	UPSID	CARIB
273	LindskoogBrend1962	cbi	UPSID	CAYAPA
274	Diffloth1984	cbn	UPSID	NYAH KUR
274	Thongkum1984	cbn	UPSID	NYAH KUR
275	Anderton1989	cbv	UPSID	CACUA
275	Cathcart1979	cbv	UPSID	CACUA
276	Jiahua1960	cdo	UPSID	FUZHOU
277	Costenoble1940	cha	UPSID	CHAMORRO
277	Seiden1960	cha	UPSID	CHAMORRO
277	Topping1969	cha	UPSID	CHAMORRO
277	Topping1973	cha	UPSID	CHAMORRO
278	Li1932	chp	UPSID	CHIPEWYAN
278	Li1933	chp	UPSID	CHIPEWYAN
278	Li1946	chp	UPSID	CHIPEWYAN
279	Robbins1968	chq	UPSID	HIGHLAND CHINANTEC
279	Robbins1975	chq	UPSID	HIGHLAND CHINANTEC
279	Robbins1961	chq	UPSID	HIGHLAND CHINANTEC
280	BenderBender1946	chr	UPSID	CHEROKEE
280	Walker1975	chr	UPSID	CHEROKEE
280	Cook1979	chr	UPSID	CHEROKEE
281	Kruger1961	chv	UPSID	CHUVASH
282	Blood1967	cja	UPSID	CHAM
283	Kinkade1963	cjh	UPSID	UPPER CHEHALIS
284	Thurman1970	cjv	UPSID	CHUAVE
285	Skorik1961	ckt	UPSID	CHUKCHI
285	Skorik1968	ckt	UPSID	CHUKCHI
286	Chao1968	cmn	UPSID	MANDARIN
286	Cheng1973b	cmn	UPSID	MANDARIN
286	Dow1972	cmn	UPSID	MANDARIN
286	Jiahua1960	cmn	UPSID	MANDARIN
286	Karlgren1926	cmn	UPSID	MANDARIN
286	Hanyu1960	cmn	UPSID	MANDARIN
287	Liang1984	cnh	UPSID	LAI
287	Liang1984b	cnh	UPSID	LAI
287	OuyangZheng1980	cnh	UPSID	LAI
287	OuyangZheng1963	cnh	UPSID	LAI
288	Dirks1953	cni	UPSID	CAMPA
288	Payne1981	cni	UPSID	CAMPA
289	Borman1962	con	UPSID	COFAN
290	Santos1977	cou	UPSID	KONYAGI
291	Wang1985	cqd	UPSID	HMONG
291	Wang1983	cqd	UPSID	HMONG
291	Purnell1972	cqd	UPSID	HMONG
292	Taylor1955	crb	UPSID	ISLAND CARIB
293	Henderson1965	ctd	UPSID	TIDDIM CHIN
294	Pride1965	ctp	UPSID	CHATINO
295	Salser1971	cub	UPSID	CUBEO
296	Key1961	cyb	UPSID	CAYUVAVA
297	Fedry1977	daa	UPSID	DANGALEAT
298	BearthZemp1967	daf	UPSID	DAN
299	WilsonBendor-Samuel1969	dag	UPSID	DAGBANI
300	Thelwall1981	daj	UPSID	DAJU
300	TuckerBryan1966	daj	UPSID	DAJU
301	Tucker_etal1977	dal	UPSID	DAHALO
301	Nurse1986	dal	UPSID	DAHALO
302	Ray1967	dap	UPSID	DAFLA
303	Dixon1972	dbl	UPSID	DYIRBAL
304	Moulton1962	deu	UPSID	GERMAN
304	Wangler1972	deu	UPSID	GERMAN
305	Austin1981	dif	UPSID	DIYARI
306	Langdon1970	dih	UPSID	DIEGUENO
307	Andersen1987	dip	UPSID	DINKA
307	Malou1988	dip	UPSID	DINKA
308	Bromley1961	dni	UPSID	DANI
308	vanderStap1966	dni	UPSID	DANI
309	GuoqiaoYang1988	doc	UPSID	KAM
310	Wiering1974	dow	UPSID	DOAYO
311	Li1973	dru	UPSID	RUKAI
311	Li1977-dru	dru	UPSID	RUKAI
312	Anonymous1982	dta	UPSID	DAGUR
313	Bendor-Samuel_etal1989	dts	UPSID	DOGON
313	Morphy1983	duj	UPSID	YOLNGU
314	RoseMorphy1982	duj	UPSID	YOLNGU
315	Sapir1965	dyo	UPSID	DIOLA
316	Cook1969b	efi	UPSID	EFIK
317	Doble1962	ekg	UPSID	EKARI
317	Doble1987	ekg	UPSID	EKARI
317	Steltenpool1969	ekg	UPSID	EKARI
318	Householder_etal1964	ell	UPSID	GREEK
318	Newton1972	ell	UPSID	GREEK
318	Pring1967	ell	UPSID	GREEK
319	Krauss1975	ess	UPSID	YUPIK
320	Watters1981	etu	UPSID	EJAGHAM
321	Gavel1929	eus	UPSID	BASQUE
321	Ndiaye1970	eus	UPSID	BASQUE
322	Novikova1960	eve	UPSID	EVEN
323	Ladefoged1964	ewe	UPSID	EWE
323	Stahlke1970	ewe	UPSID	EWE
323	Berry1951	ewe	UPSID	EWE
324	Abega1970	ewo	UPSID	EWONDO
324	NnomoMbezele1982	ewo	UPSID	EWONDO
324	Redden1979	ewo	UPSID	EWONDO
325	Krauss1965	eya	UPSID	EYAK
326	LoewekeMay1964	faa	UPSID	FASU
327	Bell1968	fia	UPSID	NUBIAN
327	Bell1971	fia	UPSID	NUBIAN
327	Stevenson1957	fia	UPSID	NUBIAN
328	Dixon1988	fij	UPSID	FIJIAN
329	Austerlitz1967	fin	UPSID	FINNISH
329	Hammarberg1974	fin	UPSID	FINNISH
329	Harms1964	fin	UPSID	FINNISH
329	Harms1966	fin	UPSID	FINNISH
329	Lehtinen1964	fin	UPSID	FINNISH
330	Hyman1972	fmp	UPSID	FE?FE?
331	Sten1963	fra	UPSID	FRENCH
332	Lapenda1968	fun	UPSID	IATE
333	Beaton1968	fvr	UPSID	FUR
333	TuckerTucker1966	fvr	UPSID	FUR
334	Li1977	fwa	UPSID	PO-AI
335	Berry1951a	gaa	UPSID	GA
336	FrantzFrantz1966	gaj	UPSID	GADSUP
337	Furby1974	gbc	UPSID	GARAWA
338	MoninoRoulon1972	gbp	UPSID	GBEYA
338	Samarin1966	gbp	UPSID	GBEYA
339	HymanMagaji1970	gbr	UPSID	GWARI
340	He1983	gio	UPSID	GELAO
340	He1981	gio	UPSID	GELAO
341	Avrorin1968	gld	UPSID	NANAI
342	Fhailigh1968	gle	UPSID	IRISH
342	Sommerfelt1964	gle	UPSID	IRISH
342	Brothers1905	gle	UPSID	IRISH
343	Allan1976a	gmo	UPSID	KULLO
344	Holmer1949	guc	UPSID	GUAJIRO
344	Mansen1967	guc	UPSID	GUAJIRO
345	GregoresSuarez1967	gug	UPSID	GUARANI
345	Lunt1973	gug	UPSID	GUARANI
345	Uldall1956	gug	UPSID	GUARANI
346	KondoKondo1967	guh	UPSID	GUAHIBO
347	BranksBranks1973	gum	UPSID	GUAMBIANO
347	Caudmont1964	gum	UPSID	GUAMBIANO
348	Susnik1974	guq	UPSID	ACHE
349	Oates1964	gvn	UPSID	GUGU-YALANDYI
349	OatesOates1964	gvn	UPSID	GUGU-YALANDYI
349	Wurm1972a	gvn	UPSID	GUGU-YALANDYI
350	Hashimoto1973	hak	UPSID	HAKKA
351	Abraham1934	hau	UPSID	HAUSA
